date,material_id,material_name,category,price,unit,source,provider,symbol,source_date,daily_change_pct,near_contract_price,dominant_contract_price,dom_basis_rate,notes
2026-05-22,abs,ABS,塑料外壳材料,10666.67,元/吨,生意社基准价,sunsirs_vane,,2026-05-22,-1.08,,,,
2026-05-25,abs,ABS,塑料外壳材料,10533.33,元/吨,生意社基准价,sunsirs_vane,,2026-05-25,-2.17,,,,
2026-05-28,abs,ABS,塑料外壳材料,10133.33,元/吨,生意社基准价,sunsirs_vane,,2026-05-28,-5.0,,,,
2026-05-31,abs,ABS,塑料外壳材料,9900.0,元/吨,生意社基准价,sunsirs_vane,,2026-05-31,-6.01,,,,
2026-06-02,abs,ABS,塑料外壳材料,9516.67,元/吨,生意社基准价,sunsirs_vane,,2026-06-02,-6.09,,,,
2026-06-05,abs,ABS,塑料外壳材料,9283.33,元/吨,生意社基准价,sunsirs_vane,,2026-06-05,-6.23,,,,
2026-06-06,abs,ABS,塑料外壳材料,9283.33,元/吨,生意社基准价,sunsirs_vane,,2026-06-06,-2.45,,,,
2026-06-09,abs,ABS,塑料外壳材料,9266.67,元/吨,生意社基准价,sunsirs_vane,,2026-06-09,-0.18,,,,
2026-06-11,abs,ABS,塑料外壳材料,9283.33,元/吨,生意社基准价,sunsirs_vane,,2026-06-11,0.18,,,,
2026-06-12,abs,ABS,塑料外壳材料,9300.0,元/吨,生意社基准价,sunsirs_vane,,2026-06-12,0.36,,,,
2026-06-14,abs,ABS,塑料外壳材料,9300.0,元/吨,生意社基准价,sunsirs_vane,,2026-06-14,0.0,,,,
2026-06-15,abs,ABS,塑料外壳材料,9300.0,元/吨,生意社基准价,sunsirs_vane,,2026-06-15,0.0,,,,
2024-01-02,aluminum,铝,结构金属/铝材,19513.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-02,,19820.0,19755.0,0.012384867165163405,
2024-01-03,aluminum,铝,结构金属/铝材,19543.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-03,,19510.0,19340.0,-0.010404061129807518,
2024-01-04,aluminum,铝,结构金属/铝材,19396.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-04,,19300.0,19215.0,-0.009366040665743092,
2024-01-05,aluminum,铝,结构金属/铝材,19396.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-05,,19280.0,19180.0,-0.011170474107153328,
2024-01-08,aluminum,铝,结构金属/铝材,19396.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-08,,19185.0,19135.0,-0.013490459960395218,
2024-01-09,aluminum,铝,结构金属/铝材,19120.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-09,,19050.0,18970.0,-0.007845188284518856,
2024-01-10,aluminum,铝,结构金属/铝材,19226.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-10,,19075.0,19000.0,-0.011789353018489379,
2024-01-11,aluminum,铝,结构金属/铝材,19103.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-11,,19095.0,19055.0,-0.0025299254109101277,
2024-01-12,aluminum,铝,结构金属/铝材,19120.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-12,,19080.0,19030.0,-0.004707112970711247,
2024-01-15,aluminum,铝,结构金属/铝材,19036.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-15,,18950.0,18885.0,-0.007967254777227262,
2024-01-16,aluminum,铝,结构金属/铝材,18960.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-16,,18845.0,18805.0,-0.008175105485232037,
2024-01-17,aluminum,铝,结构金属/铝材,19013.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-17,,18860.0,18830.0,-0.009642182616091066,
2024-01-18,aluminum,铝,结构金属/铝材,18900.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-18,,18810.0,18795.0,-0.005555555555555536,
2024-01-19,aluminum,铝,结构金属/铝材,18846.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-19,,18675.0,18660.0,-0.009904667508902065,
2024-01-22,aluminum,铝,结构金属/铝材,18843.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-22,,18710.0,18695.0,-0.007871750906023656,
2024-01-23,aluminum,铝,结构金属/铝材,18760.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-23,,18680.0,18675.0,-0.004530916844349697,
2024-01-24,aluminum,铝,结构金属/铝材,18993.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-24,,19025.0,19025.0,0.0016674274600609884,
2024-01-25,aluminum,铝,结构金属/铝材,18930.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-25,,18870.0,18865.0,-0.0034337031167459564,
2024-01-26,aluminum,铝,结构金属/铝材,19136.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-26,,19050.0,19055.0,-0.00426772264976083,
2024-01-29,aluminum,铝,结构金属/铝材,19100.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-29,,19015.0,19005.0,-0.004973821989528782,
2024-01-30,aluminum,铝,结构金属/铝材,19100.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-30,,18960.0,18950.0,-0.007853403141361293,
2024-01-31,aluminum,铝,结构金属/铝材,18980.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-01-31,,19040.0,19010.0,0.0015806111696523573,
2024-02-01,aluminum,铝,结构金属/铝材,18953.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-01,,18905.0,18900.0,-0.002813753572591282,
2024-02-02,aluminum,铝,结构金属/铝材,18923.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-02,,18840.0,18810.0,-0.005988903644337573,
2024-02-05,aluminum,铝,结构金属/铝材,18746.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-05,,18795.0,18815.0,0.00364491400339384,
2024-02-06,aluminum,铝,结构金属/铝材,18783.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-06,,18880.0,18845.0,0.003283230396314174,
2024-02-07,aluminum,铝,结构金属/铝材,18940.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-07,,18910.0,18885.0,-0.0029039070749735663,
2024-02-08,aluminum,铝,结构金属/铝材,18860.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-08,,18950.0,18895.0,0.001855779427359483,
2024-02-19,aluminum,铝,结构金属/铝材,18836.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-19,,18740.0,18775.0,-0.00327393323766878,
2024-02-20,aluminum,铝,结构金属/铝材,18836.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-20,,18700.0,18690.0,-0.007786408107165355,
2024-02-21,aluminum,铝,结构金属/铝材,18880.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-21,,18940.0,18945.0,0.0034427966101695517,
2024-02-22,aluminum,铝,结构金属/铝材,18750.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-22,,18810.0,18800.0,0.002666666666666595,
2024-02-23,aluminum,铝,结构金属/铝材,18886.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-23,,18850.0,18850.0,-0.0019415810198408767,
2024-02-26,aluminum,铝,结构金属/铝材,18716.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-26,,18800.0,18795.0,0.004185039325905748,
2024-02-27,aluminum,铝,结构金属/铝材,18823.33,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-27,,18850.0,18835.0,0.0006199753178635081,
2024-02-28,aluminum,铝,结构金属/铝材,18806.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-28,,18800.0,18790.0,-0.0008863876486373545,
2024-02-29,aluminum,铝,结构金属/铝材,18876.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-02-29,,18960.0,18925.0,0.0025603032738297227,
2024-03-01,aluminum,铝,结构金属/铝材,18970.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-03-01,,18995.0,18965.0,-0.00026357406431209984,
2024-03-04,aluminum,铝,结构金属/铝材,18960.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-03-04,,19050.0,19030.0,0.003691983122362963,
2024-03-05,aluminum,铝,结构金属/铝材,19040.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-03-05,,19085.0,19060.0,0.0010504201680672232,
2024-03-06,aluminum,铝,结构金属/铝材,19040.0,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-03-06,,19075.0,19055.0,0.0007878151260505284,
2024-03-07,aluminum,铝,结构金属/铝材,19066.67,元/吨,AKShare/生意社现货与期货,akshare_basis,AL,2024-03-07,,19145.0,19130.0,0.0033215029158213394,
